Bee_number	Start	Stop	Death	Cup	Treatment
24	1	24	0	H	1R
25	1	24	0	H	1R
26	1	24	0	H	1R
27	1	24	0	H	1R
28	1	24	0	H	1R
29	1	24	0	H	1R
30	1	24	0	H	1R
31	1	24	0	H	1R
32	1	24	0	H	1R
33	1	24	0	H	1R
34	1	24	0	H	1R
35	1	24	0	H	1R
36	1	24	0	H	1R
37	1	24	0	H	1R
38	1	24	0	H	1R
39	1	24	0	H	1R
40	1	24	0	H	1R
1	1	6	1	I	1R
2	1	6	1	I	1R
3	1	12	1	I	1R
4	1	12	1	I	1R
5	1	12	1	I	1R
6	1	12	1	I	1R
7	1	12	1	I	1R
8	1	12	1	I	1R
9	1	24	1	I	1R
10	1	24	1	I	1R
11	1	24	1	I	1R
12	1	24	1	I	1R
13	1	24	1	I	1R
14	1	24	1	I	1R
15	1	24	1	I	1R
16	1	24	0	I	1R
17	1	24	0	I	1R
18	1	24	0	I	1R
19	1	24	0	I	1R
20	1	24	0	I	1R
21	1	24	0	I	1R
22	1	24	0	I	1R
23	1	24	0	I	1R
24	1	24	0	I	1R
25	1	24	0	I	1R
26	1	24	0	I	1R
27	1	24	0	I	1R
28	1	24	0	I	1R
29	1	24	0	I	1R
30	1	24	0	I	1R
31	1	24	0	I	1R
32	1	24	0	I	1R
33	1	24	0	I	1R
34	1	24	0	I	1R
35	1	24	0	I	1R
36	1	24	0	I	1R
37	1	24	0	I	1R
38	1	24	0	I	1R
39	1	24	0	I	1R
1	1	9	1	J	1R
2	1	9	1	J	1R
3	1	9	1	J	1R
4	1	9	1	J	1R
5	1	12	1	J	1R
6	1	12	1	J	1R
7	1	12	1	J	1R
8	1	12	1	J	1R
9	1	12	1	J	1R
10	1	24	1	J	1R
11	1	24	1	J	1R
12	1	24	1	J	1R
13	1	24	1	J	1R
14	1	24	1	J	1R
15	1	24	1	J	1R
16	1	24	1	J	1R
17	1	24	1	J	1R
18	1	24	1	J	1R
19	1	24	1	J	1R
20	1	24	1	J	1R
21	1	24	1	J	1R
22	1	24	1	J	1R
23	1	24	1	J	1R
24	1	24	1	J	1R
25	1	24	1	J	1R
26	1	24	1	J	1R
27	1	24	1	J	1R
28	1	24	1	J	1R
29	1	24	1	J	1R
30	1	24	1	J	1R
31	1	24	1	J	1R
32	1	24	1	J	1R
33	1	24	1	J	1R
34	1	24	1	J	1R
35	1	24	1	J	1R
36	1	24	1	J	1R
37	1	24	1	J	1R
38	1	24	1	J	1R
1	1	6	1	A	3R
2	1	6	1	A	3R
3	1	6	1	A	3R
4	1	6	1	A	3R
5	1	9	1	A	3R
6	1	12	1	A	3R
7	1	12	1	A	3R
8	1	12	1	A	3R
9	1	24	1	A	3R
10	1	24	1	A	3R
11	1	24	1	A	3R
12	1	24	1	A	3R
13	1	24	1	A	3R
14	1	24	1	A	3R
15	1	24	1	A	3R
16	1	24	1	A	3R
17	1	24	1	A	3R
18	1	24	1	A	3R
19	1	24	1	A	3R
20	1	24	1	A	3R
21	1	24	1	A	3R
22	1	24	1	A	3R
23	1	24	1	A	3R
24	1	24	1	A	3R
25	1	24	1	A	3R
26	1	24	1	A	3R
27	1	24	1	A	3R
28	1	24	1	A	3R
29	1	24	1	A	3R
30	1	24	1	A	3R
31	1	24	0	A	3R
32	1	24	0	A	3R
33	1	24	0	A	3R
34	1	24	0	A	3R
35	1	24	0	A	3R
36	1	24	0	A	3R
37	1	24	0	A	3R
38	1	24	0	A	3R
39	1	24	0	A	3R
40	1	24	0	A	3R
1	1	6	1	B	3R
2	1	6	1	B	3R
3	1	6	1	B	3R
4	1	6	1	B	3R
5	1	9	1	B	3R
6	1	9	1	B	3R
7	1	12	1	B	3R
8	1	12	1	B	3R
9	1	12	1	B	3R
10	1	12	1	B	3R
11	1	12	1	B	3R
12	1	12	1	B	3R
13	1	12	1	B	3R
14	1	24	1	B	3R
15	1	24	1	B	3R
16	1	24	1	B	3R
17	1	24	1	B	3R
18	1	24	1	B	3R
19	1	24	1	B	3R
20	1	24	1	B	3R
21	1	24	1	B	3R
22	1	24	1	B	3R
23	1	24	1	B	3R
24	1	24	1	B	3R
25	1	24	1	B	3R
26	1	24	1	B	3R
27	1	24	0	B	3R
28	1	24	0	B	3R
29	1	24	0	B	3R
30	1	24	0	B	3R
31	1	24	0	B	3R
32	1	24	0	B	3R
33	1	24	0	B	3R
34	1	24	0	B	3R
35	1	24	0	B	3R
36	1	24	0	B	3R
37	1	24	0	B	3R
38	1	24	0	B	3R
39	1	24	0	B	3R
40	1	24	0	B	3R
1	1	6	1	C	3R
2	1	6	1	C	3R
3	1	6	1	C	3R
4	1	6	1	C	3R
5	1	6	1	C	3R
6	1	9	1	C	3R
7	1	9	1	C	3R
8	1	12	1	C	3R
9	1	12	1	C	3R
10	1	12	1	C	3R
11	1	12	1	C	3R
12	1	12	1	C	3R
13	1	24	1	C	3R
14	1	24	1	C	3R
15	1	24	1	C	3R
16	1	24	1	C	3R
17	1	24	1	C	3R
18	1	24	1	C	3R
19	1	24	1	C	3R
20	1	24	1	C	3R
21	1	24	1	C	3R
22	1	24	1	C	3R
23	1	24	1	C	3R
24	1	24	1	C	3R
25	1	24	1	C	3R
26	1	24	1	C	3R
27	1	24	1	C	3R
28	1	24	1	C	3R
29	1	24	1	C	3R
30	1	24	1	C	3R
31	1	24	1	C	3R
32	1	24	1	C	3R
33	1	24	0	C	3R
34	1	24	0	C	3R
35	1	24	0	C	3R
36	1	24	0	C	3R
37	1	24	0	C	3R
38	1	24	0	C	3R
39	1	24	0	C	3R
40	1	24	0	C	3R
1	1	6	1	D	3R
2	1	6	1	D	3R
3	1	9	1	D	3R
4	1	9	1	D	3R
5	1	9	1	D	3R
6	1	9	1	D	3R
7	1	9	1	D	3R
8	1	9	1	D	3R
9	1	9	1	D	3R
10	1	12	1	D	3R
11	1	12	1	D	3R
12	1	12	1	D	3R
13	1	12	1	D	3R
14	1	12	1	D	3R
15	1	24	1	D	3R
16	1	24	1	D	3R
17	1	24	1	D	3R
18	1	24	1	D	3R
19	1	24	1	D	3R
20	1	24	1	D	3R
21	1	24	1	D	3R
22	1	24	1	D	3R
23	1	24	1	D	3R
24	1	24	1	D	3R
25	1	24	1	D	3R
26	1	24	1	D	3R
27	1	24	1	D	3R
28	1	24	1	D	3R
29	1	24	1	D	3R
30	1	24	1	D	3R
31	1	24	1	D	3R
32	1	24	1	D	3R
33	1	24	1	D	3R
34	1	24	1	D	3R
35	1	24	1	D	3R
36	1	24	0	D	3R
37	1	24	0	D	3R
38	1	24	0	D	3R
39	1	24	0	D	3R
40	1	24	0	D	3R
1	1	6	1	E	3R
2	1	6	1	E	3R
3	1	12	1	E	3R
4	1	12	1	E	3R
5	1	24	1	E	3R
6	1	24	1	E	3R
7	1	24	1	E	3R
8	1	24	1	E	3R
9	1	24	1	E	3R
10	1	24	1	E	3R
11	1	24	1	E	3R
12	1	24	1	E	3R
13	1	24	1	E	3R
14	1	24	1	E	3R
15	1	24	1	E	3R
16	1	24	1	E	3R
17	1	24	1	E	3R
18	1	24	1	E	3R
19	1	24	1	E	3R
20	1	24	1	E	3R
21	1	24	1	E	3R
22	1	24	1	E	3R
23	1	24	1	E	3R
24	1	24	1	E	3R
25	1	24	1	E	3R
26	1	24	1	E	3R
27	1	24	1	E	3R
28	1	24	1	E	3R
29	1	24	1	E	3R
30	1	24	1	E	3R
31	1	24	1	E	3R
32	1	24	1	E	3R
33	1	24	1	E	3R
34	1	24	1	E	3R
35	1	24	1	E	3R
36	1	24	1	E	3R
37	1	24	1	E	3R
38	1	24	1	E	3R
39	1	24	1	E	3R
40	1	24	0	E	3R
1	1	6	1	F	3R
2	1	12	1	F	3R
3	1	24	1	F	3R
4	1	24	1	F	3R
5	1	24	1	F	3R
6	1	24	1	F	3R
7	1	24	1	F	3R
8	1	24	1	F	3R
9	1	24	1	F	3R
10	1	24	1	F	3R
11	1	24	1	F	3R
12	1	24	1	F	3R
13	1	24	1	F	3R
14	1	24	1	F	3R
15	1	24	1	F	3R
16	1	24	1	F	3R
17	1	24	1	F	3R
18	1	24	1	F	3R
19	1	24	1	F	3R
20	1	24	1	F	3R
21	1	24	1	F	3R
22	1	24	1	F	3R
23	1	24	1	F	3R
24	1	24	1	F	3R
25	1	24	1	F	3R
26	1	24	1	F	3R
27	1	24	1	F	3R
28	1	24	1	F	3R
29	1	24	1	F	3R
30	1	24	1	F	3R
31	1	24	1	F	3R
32	1	24	1	F	3R
33	1	24	1	F	3R
34	1	24	1	F	3R
35	1	24	1	F	3R
36	1	24	1	F	3R
37	1	24	1	F	3R
38	1	24	0	F	3R
39	1	24	0	F	3R
40	1	24	0	F	3R
1	1	6	1	G	3R
2	1	6	1	G	3R
3	1	6	1	G	3R
4	1	9	1	G	3R
5	1	9	1	G	3R
6	1	12	1	G	3R
7	1	24	1	G	3R
8	1	24	1	G	3R
9	1	24	1	G	3R
10	1	24	1	G	3R
11	1	24	1	G	3R
12	1	24	1	G	3R
13	1	24	1	G	3R
14	1	24	1	G	3R
15	1	24	1	G	3R
16	1	24	1	G	3R
17	1	24	1	G	3R
18	1	24	1	G	3R
19	1	24	1	G	3R
20	1	24	1	G	3R
21	1	24	1	G	3R
22	1	24	1	G	3R
23	1	24	1	G	3R
24	1	24	1	G	3R
25	1	24	1	G	3R
26	1	24	1	G	3R
27	1	24	1	G	3R
28	1	24	1	G	3R
29	1	24	1	G	3R
30	1	24	1	G	3R
31	1	24	1	G	3R
32	1	24	1	G	3R
33	1	24	1	G	3R
34	1	24	1	G	3R
35	1	24	0	G	3R
36	1	24	0	G	3R
37	1	24	0	G	3R
38	1	24	0	G	3R
39	1	24	0	G	3R
40	1	24	0	G	3R
1	1	6	1	H	3R
2	1	6	1	H	3R
3	1	9	1	H	3R
4	1	9	1	H	3R
5	1	9	1	H	3R
6	1	9	1	H	3R
7	1	12	1	H	3R
8	1	12	1	H	3R
9	1	12	1	H	3R
10	1	12	1	H	3R
11	1	12	1	H	3R
12	1	24	1	H	3R
13	1	24	1	H	3R
14	1	24	1	H	3R
15	1	24	1	H	3R
16	1	24	1	H	3R
17	1	24	1	H	3R
18	1	24	1	H	3R
19	1	24	1	H	3R
20	1	24	1	H	3R
21	1	24	1	H	3R
22	1	24	1	H	3R
23	1	24	1	H	3R
24	1	24	1	H	3R
25	1	24	1	H	3R
26	1	24	1	H	3R
27	1	24	1	H	3R
28	1	24	1	H	3R
29	1	24	1	H	3R
30	1	24	1	H	3R
31	1	24	1	H	3R
32	1	24	1	H	3R
33	1	24	1	H	3R
34	1	24	1	H	3R
35	1	24	1	H	3R
36	1	24	1	H	3R
37	1	24	1	H	3R
38	1	24	1	H	3R
39	1	24	1	H	3R
1	1	6	1	I	3R
2	1	6	1	I	3R
3	1	6	1	I	3R
4	1	9	1	I	3R
5	1	9	1	I	3R
6	1	12	1	I	3R
7	1	12	1	I	3R
8	1	12	1	I	3R
9	1	24	1	I	3R
10	1	24	1	I	3R
11	1	24	1	I	3R
12	1	24	1	I	3R
13	1	24	1	I	3R
14	1	24	1	I	3R
15	1	24	1	I	3R
16	1	24	1	I	3R
17	1	24	1	I	3R
18	1	24	1	I	3R
19	1	24	1	I	3R
20	1	24	1	I	3R
21	1	24	1	I	3R
22	1	24	1	I	3R
23	1	24	1	I	3R
24	1	24	1	I	3R
25	1	24	1	I	3R
26	1	24	1	I	3R
27	1	24	1	I	3R
28	1	24	1	I	3R
29	1	24	1	I	3R
30	1	24	0	I	3R
31	1	24	0	I	3R
32	1	24	0	I	3R
33	1	24	0	I	3R
34	1	24	0	I	3R
35	1	24	0	I	3R
36	1	24	0	I	3R
37	1	24	0	I	3R
38	1	24	0	I	3R
39	1	24	0	I	3R
1	1	6	1	J	3R
2	1	6	1	J	3R
3	1	6	1	J	3R
4	1	6	1	J	3R
5	1	6	1	J	3R
6	1	6	1	J	3R
7	1	6	1	J	3R
8	1	9	1	J	3R
9	1	9	1	J	3R
10	1	9	1	J	3R
11	1	9	1	J	3R
12	1	12	1	J	3R
13	1	24	1	J	3R
14	1	24	1	J	3R
15	1	24	1	J	3R
16	1	24	1	J	3R
17	1	24	1	J	3R
18	1	24	1	J	3R
19	1	24	1	J	3R
20	1	24	1	J	3R
21	1	24	1	J	3R
22	1	24	1	J	3R
23	1	24	1	J	3R
24	1	24	1	J	3R
25	1	24	1	J	3R
26	1	24	1	J	3R
27	1	24	1	J	3R
28	1	24	1	J	3R
29	1	24	1	J	3R
30	1	24	1	J	3R
31	1	24	0	J	3R
32	1	24	0	J	3R
33	1	24	0	J	3R
34	1	24	0	J	3R
35	1	24	0	J	3R
36	1	24	0	J	3R
37	1	24	0	J	3R
38	1	24	0	J	3R
39	1	24	0	J	3R
