Sample	Concentration	Hive	Treatment	Week
1_0_1R_S_3_W2_9_20_19	912.5307959	1_0_1R_S_3	0_1RS	2
1_0_1R_S_4_W2_9_20_19	89.32266364	1_0_1R_S_4	0_1RS	2
1_0_1R_S_1_W3_9_20_19	1480.031431	1_0_1R_S_1	0_1RS	3
1_0_1R_S_2_W3_9_20_19	2088.248913	1_0_1R_S_2	0_1RS	3
1_0_1R_S_3_W3_9_20_19	786.527842	1_0_1R_S_3	0_1RS	3
1_0_1R_S_1_W4_9_20_19	1515.809176	1_0_1R_S_1	0_1RS	4
1_0_1R_S_2_W4_9_20_19	2184.12315	1_0_1R_S_2	0_1RS	4
1_0_1R_S_3_W4_9_20_19	1305.887061	1_0_1R_S_3	0_1RS	4
1_0_1R_S_1_W7_9_20_19	1297.288501	1_0_1R_S_1	0_1RS	7
1_0_1R_S_2_W7_9_20_19	2024.427155	1_0_1R_S_2	0_1RS	7
1_0_1R_S_3_W7_9_20_19	1452.774453	1_0_1R_S_3	0_1RS	7
