Sample	Concentration	Hive	Treatment	Week
2-0.001R-W-2-W1	0.00	2-0.001R-W-2	0_001R_Water	1
2-0.001R-W-3-W1	9.40	2-0.001R-W-3	0_001R_Water	1
2-0.001R-W-4-W1	10.10	2-0.001R-W-4	0_001R_Water	1
2-0.001R-W-1-W2	0.00	2-0.001R-W-1	0_001R_Water	2
2-0.001R-W-2-W2	0.00	2-0.001R-W-2	0_001R_Water	2
2-0.001R-W-3-W2	126.25	2-0.001R-W-3	0_001R_Water	2
2-0.001R-W-4-W2	12.57	2-0.001R-W-4	0_001R_Water	2
2-0.001R-W-1-W3	0	2-0.001R-W-1	0_001R_Water	3
2-0.001R-W-2-W3	0	2-0.001R-W-2	0_001R_Water	3
2-0.001R-W-3-W3	186.2178832	2-0.001R-W-3	0_001R_Water	3
2-0.001R-W-4-W3	101.4530314	2-0.001R-W-4	0_001R_Water	3
2-0.001R-W-1-W4	1.400912751	2-0.001R-W-1	0_001R_Water	4
2-0.001R-W-2-W4	1.523507881	2-0.001R-W-2	0_001R_Water	4
2-0.001R-W-3-W4	65.47387449	2-0.001R-W-3	0_001R_Water	4
2-0.001R-W-4-W4	69.69739647	2-0.001R-W-4	0_001R_Water	4
2-0.001R-W-1-W7	13.04650281	2-0.001R-W-1	0_001R_Water	7
2-0.001R-W-2-W7	0	2-0.001R-W-2	0_001R_Water	7
2-0.001R-W-3-W7	54.48730088	2-0.001R-W-3	0_001R_Water	7
2-0.001R-W-4-W7	128.0272	2-0.001R-W-4	0_001R_Water	7
2-0.1R-S-1-W0	0.00	2-0.1R-S-1	0_1R_Syrup	0
2-0.1R-S-2-W0	0.00	2-0.1R-S-2	0_1R_Syrup	0
2-0.1R-S-3-W0	0.00	2-0.1R-S-3	0_1R_Syrup	0
2-0.1R-S-4-W0	0.00	2-0.1R-S-4	0_1R_Syrup	0
2-0.1R-S-1-W1	731.67	2-0.1R-S-1	0_1R_Syrup	1
2-0.1R-S-2-W1	1957.42	2-0.1R-S-2	0_1R_Syrup	1
2-0.1R-S-3-W1	728.03	2-0.1R-S-3	0_1R_Syrup	1
2-0.1R-S-4-W1	1025.84	2-0.1R-S-4	0_1R_Syrup	1
2-0.1R-S-1-W2	964.62	2-0.1R-S-1	0_1R_Syrup	2
2-0.1R-S-2-W2	1425.35	2-0.1R-S-2	0_1R_Syrup	2
2-0.1R-S-3-W2	588.87	2-0.1R-S-3	0_1R_Syrup	2
2-0.1R-S-4-W2	775.59	2-0.1R-S-4	0_1R_Syrup	2
2-0.1R-S-1-W3	929.5241865	2-0.1R-S-1	0_1R_Syrup	3
2-0.1R-S-2-W3	1225.898022	2-0.1R-S-2	0_1R_Syrup	3
2-0.1R-S-3-W3	612.1182467	2-0.1R-S-3	0_1R_Syrup	3
2-0.1R-S-4-W3	937.8632485	2-0.1R-S-4	0_1R_Syrup	3
2-0.1R-S-1-W4	801.1983141	2-0.1R-S-1	0_1R_Syrup	4
2-0.1R-S-2-W4	800.7506272	2-0.1R-S-2	0_1R_Syrup	4
2-0.1R-S-3-W4	690.2025767	2-0.1R-S-3	0_1R_Syrup	4
2-0.1R-S-4-W4	636.8588772	2-0.1R-S-4	0_1R_Syrup	4
2-0.1R-S-1-W7	767.7396963	2-0.1R-S-1	0_1R_Syrup	7
2-0.1R-S-2-W7	730.1624706	2-0.1R-S-2	0_1R_Syrup	7
2-0.1R-S-3-W7	49.14158603	2-0.1R-S-3	0_1R_Syrup	7
2-0.1R-S-4-W7	312.3361023	2-0.1R-S-4	0_1R_Syrup	7
2-0.1R-W-1-W0	2.06	2-0.1R-W-1	0_1R_Water	0
2-0.1R-W-2-W0	0.00	2-0.1R-W-2	0_1R_Water	0
2-0.1R-W-3-W0	0.00	2-0.1R-W-3	0_1R_Water	0
2-0.1R-W-4-W0	0.00	2-0.1R-W-4	0_1R_Water	0
2-0.1R-W-5-W0	0.00	2-0.1R-W-5	0_1R_Water	0
2-0.1R-W-1-W1	27.34	2-0.1R-W-1	0_1R_Water	1
2-0.1R-W-2-W1	3.11	2-0.1R-W-2	0_1R_Water	1
2-0.1R-W-3-W1	5.20	2-0.1R-W-3	0_1R_Water	1
2-0.1R-W-4-W1	15.90	2-0.1R-W-4	0_1R_Water	1
2-0.1R-W-5-W1	28.53	2-0.1R-W-5	0_1R_Water	1
2-0.1R-W-1-W2	12.27	2-0.1R-W-1	0_1R_Water	2
2-0.1R-W-2-W2	9.20	2-0.1R-W-2	0_1R_Water	2
2-0.1R-W-3-W2	0.00	2-0.1R-W-3	0_1R_Water	2
2-0.1R-W-4-W2	14.59	2-0.1R-W-4	0_1R_Water	2
2-0.1R-W-5-W2	48.55	2-0.1R-W-5	0_1R_Water	2
2-0.1R-W-1-W3	29.08367117	2-0.1R-W-1	0_1R_Water	3
2-0.1R-W-2-W3	18.77494546	2-0.1R-W-2	0_1R_Water	3
2-0.1R-W-3-W3	5.878672381	2-0.1R-W-3	0_1R_Water	3
2-0.1R-W-4-W3	11.80774461	2-0.1R-W-4	0_1R_Water	3
2-0.1R-W-5-W3	37.02893537	2-0.1R-W-5	0_1R_Water	3
2-0.1R-W-1-W4	25.5643391	2-0.1R-W-1	0_1R_Water	4
2-0.1R-W-2-W4	48.30302271	2-0.1R-W-2	0_1R_Water	4
2-0.1R-W-3-W4	12.05160909	2-0.1R-W-3	0_1R_Water	4
2-0.1R-W-4-W4	10.82061186	2-0.1R-W-4	0_1R_Water	4
2-0.1R-W-5-W4	86.69854881	2-0.1R-W-5	0_1R_Water	4
2-0.1R-W-1-W7	35.67278853	2-0.1R-W-1	0_1R_Water	7
2-0.1R-W-2-W7	30.38820959	2-0.1R-W-2	0_1R_Water	7
2-0.1R-W-3-W7	11.11074179	2-0.1R-W-3	0_1R_Water	7
2-0.1R-W-4-W7	25.32838027	2-0.1R-W-4	0_1R_Water	7
2-0.1R-W-5-W7	75.19075847	2-0.1R-W-5	0_1R_Water	7
