Sample	Concentration	Hive	Treatment	Week
2-C-S-1-W0	0.00	2-C-S-1	Control	0
2-C-S-2-W0	0.00	2-C-S-2	Control	0
2-C-S-3-W0	0.00	2-C-S-3	Control	0
2-C-S-4-W0	0.00	2-C-S-4	Control	0
2-C-S-5-W0	0.00	2-C-S-5	Control	0
2-C-S-6-W0	0.00	2-C-S-6	Control	0
2-C-S-1-W1	2.91	2-C-S-1	Control	1
2-C-S-2-W1	0.00	2-C-S-2	Control	1
2-C-S-3-W1	0.00	2-C-S-3	Control	1
2-C-S-4-W1	0.00	2-C-S-4	Control	1
2-C-S-5-W1	0.00	2-C-S-5	Control	1
2-C-S-6-W1	0.00	2-C-S-6	Control	1
2-C-S-1-W2	0.00	2-C-S-1	Control	2
2-C-S-2-W2	0.00	2-C-S-2	Control	2
2-C-S-3-W2	0.00	2-C-S-3	Control	2
2-C-S-4-W2	0.00	2-C-S-4	Control	2
2-C-S-5-W2	3.15	2-C-S-5	Control	2
2-C-S-6-W2	0.00	2-C-S-6	Control	2
2-C-S-1-W3	0	2-C-S-1	Control	3
2-C-S-2-W3	0	2-C-S-2	Control	3
2-C-S-3-W3	0	2-C-S-3	Control	3
2-C-S-4-W3	0	2-C-S-4	Control	3
2-C-S-5-W3	6.672133513	2-C-S-5	Control	3
2-C-S-6-W3	0	2-C-S-6	Control	3
2-C-S-1-W4	0	2-C-S-1	Control	4
2-C-S-2-W4	0	2-C-S-2	Control	4
2-C-S-3-W4	0	2-C-S-3	Control	4
2-C-S-4-W4	0	2-C-S-4	Control	4
2-C-S-5-W4	0	2-C-S-5	Control	4
2-C-S-6-W4	0	2-C-S-6	Control	4
2-C-S-1-W7	0	2-C-S-1	Control	7
2-C-S-2-W7	0	2-C-S-2	Control	7
2-C-S-3-W7	0	2-C-S-3	Control	7
2-C-S-4-W7	0	2-C-S-4	Control	7
2-C-S-5-W7	0	2-C-S-5	Control	7
2-C-S-6-W7	0	2-C-S-6	Control	7
2-0.001R-S-1-W0	0.00	2-0.001R-S-1	0_001R_Syrup	0
2-0.001R-S-2-W0	0.00	2-0.001R-S-2	0_001R_Syrup	0
2-0.001R-S-3-W0	0.00	2-0.001R-S-3	0_001R_Syrup	0
2-0.001R-S-4-W0	0.00	2-0.001R-S-4	0_001R_Syrup	0
2-0.001R-S-1-W1	6.04	2-0.001R-S-1	0_001R_Syrup	1
2-0.001R-S-2-W1	10.30	2-0.001R-S-2	0_001R_Syrup	1
2-0.001R-S-3-W1	6.34	2-0.001R-S-3	0_001R_Syrup	1
2-0.001R-S-4-W1	18.03	2-0.001R-S-4	0_001R_Syrup	1
2-0.001R-S-1-W2	8.99	2-0.001R-S-1	0_001R_Syrup	2
2-0.001R-S-2-W2	12.65	2-0.001R-S-2	0_001R_Syrup	2
2-0.001R-S-3-W2	8.56	2-0.001R-S-3	0_001R_Syrup	2
2-0.001R-S-4-W2	159.98	2-0.001R-S-4	0_001R_Syrup	2
2-0.001R-S-1-W3	7.363642889	2-0.001R-S-1	0_001R_Syrup	3
2-0.001R-S-2-W3	6.519824807	2-0.001R-S-2	0_001R_Syrup	3
2-0.001R-S-3-W3	6.360936027	2-0.001R-S-3	0_001R_Syrup	3
2-0.001R-S-4-W3	284.9864829	2-0.001R-S-4	0_001R_Syrup	3
2-0.001R-S-1-W4	7.549577717	2-0.001R-S-1	0_001R_Syrup	4
2-0.001R-S-2-W4	11.08888643	2-0.001R-S-2	0_001R_Syrup	4
2-0.001R-S-3-W4	3.066005603	2-0.001R-S-3	0_001R_Syrup	4
2-0.001R-S-4-W4	354.5449989	2-0.001R-S-4	0_001R_Syrup	4
2-0.001R-S-1-W7	8.280996127	2-0.001R-S-1	0_001R_Syrup	7
2-0.001R-S-2-W7	6.994297972	2-0.001R-S-2	0_001R_Syrup	7
2-0.001R-S-3-W7	5.868200555	2-0.001R-S-3	0_001R_Syrup	7
2-0.001R-S-4-W7	335.5378206	2-0.001R-S-4	0_001R_Syrup	7
2-0.001R-W-1-W0	0.00	2-0.001R-W-1	0_001R_Water	0
2-0.001R-W-2-W0	0.00	2-0.001R-W-2	0_001R_Water	0
2-0.001R-W-3-W0	0.00	2-0.001R-W-3	0_001R_Water	0
2-0.001R-W-1-W1	0.00	2-0.001R-W-1	0_001R_Water	1
