Bee_number	Start	Stop	Death	Treatment	Cup	Hive
15	1	10	0	Serratia	H	Hive3
16	1	10	0	Serratia	H	Hive3
17	1	10	0	Serratia	H	Hive3
18	1	10	0	Serratia	H	Hive3
19	1	10	0	Serratia	H	Hive3
20	1	10	0	Serratia	H	Hive3
21	1	10	0	Serratia	H	Hive3
22	1	10	0	Serratia	H	Hive3
23	1	10	0	Serratia	H	Hive3
24	1	10	0	Serratia	H	Hive3
25	1	10	0	Serratia	H	Hive3
26	1	10	0	Serratia	H	Hive3
27	1	10	0	Serratia	H	Hive3
28	1	10	0	Serratia	H	Hive3
29	1	10	0	Serratia	H	Hive3
30	1	10	0	Serratia	H	Hive3
31	1	10	0	Serratia	H	Hive3
32	1	10	0	Serratia	H	Hive3
33	1	10	0	Serratia	H	Hive3
34	1	10	0	Serratia	H	Hive3
1	1	10	0	Serratia	I	Hive3
2	1	10	0	Serratia	I	Hive3
3	1	10	0	Serratia	I	Hive3
4	1	10	0	Serratia	I	Hive3
5	1	10	0	Serratia	I	Hive3
6	1	10	0	Serratia	I	Hive3
7	1	10	0	Serratia	I	Hive3
8	1	10	0	Serratia	I	Hive3
9	1	10	0	Serratia	I	Hive3
10	1	10	0	Serratia	I	Hive3
11	1	10	0	Serratia	I	Hive3
12	1	10	0	Serratia	I	Hive3
13	1	10	0	Serratia	I	Hive3
14	1	10	0	Serratia	I	Hive3
15	1	10	0	Serratia	I	Hive3
16	1	10	0	Serratia	I	Hive3
17	1	10	0	Serratia	I	Hive3
18	1	10	0	Serratia	I	Hive3
19	1	10	0	Serratia	I	Hive3
20	1	10	0	Serratia	I	Hive3
21	1	10	0	Serratia	I	Hive3
22	1	10	0	Serratia	I	Hive3
23	1	10	0	Serratia	I	Hive3
24	1	10	0	Serratia	I	Hive3
25	1	10	0	Serratia	I	Hive3
26	1	10	0	Serratia	I	Hive3
27	1	10	0	Serratia	I	Hive3
28	1	10	0	Serratia	I	Hive3
29	1	10	0	Serratia	I	Hive3
30	1	10	0	Serratia	I	Hive3
31	1	10	0	Serratia	I	Hive3
32	1	10	0	Serratia	I	Hive3
33	1	10	0	Serratia	I	Hive3
34	1	10	0	Serratia	I	Hive3
1	1	4	1	R0_001_S	A	Hive1
2	1	7	1	R0_001_S	A	Hive1
3	1	10	0	R0_001_S	A	Hive1
4	1	10	0	R0_001_S	A	Hive1
5	1	10	0	R0_001_S	A	Hive1
6	1	10	0	R0_001_S	A	Hive1
7	1	10	0	R0_001_S	A	Hive1
8	1	10	0	R0_001_S	A	Hive1
9	1	10	0	R0_001_S	A	Hive1
10	1	10	0	R0_001_S	A	Hive1
11	1	10	0	R0_001_S	A	Hive1
12	1	10	0	R0_001_S	A	Hive1
13	1	10	0	R0_001_S	A	Hive1
14	1	10	0	R0_001_S	A	Hive1
15	1	10	0	R0_001_S	A	Hive1
16	1	10	0	R0_001_S	A	Hive1
17	1	10	0	R0_001_S	A	Hive1
18	1	10	0	R0_001_S	A	Hive1
19	1	10	0	R0_001_S	A	Hive1
20	1	10	0	R0_001_S	A	Hive1
21	1	10	0	R0_001_S	A	Hive1
22	1	10	0	R0_001_S	A	Hive1
23	1	10	0	R0_001_S	A	Hive1
24	1	10	0	R0_001_S	A	Hive1
25	1	10	0	R0_001_S	A	Hive1
26	1	10	0	R0_001_S	A	Hive1
27	1	10	0	R0_001_S	A	Hive1
28	1	10	0	R0_001_S	A	Hive1
29	1	10	0	R0_001_S	A	Hive1
30	1	10	0	R0_001_S	A	Hive1
31	1	10	0	R0_001_S	A	Hive1
32	1	10	0	R0_001_S	A	Hive1
33	1	10	0	R0_001_S	A	Hive1
34	1	10	0	R0_001_S	A	Hive1
35	1	10	0	R0_001_S	A	Hive1
36	1	10	0	R0_001_S	A	Hive1
37	1	10	0	R0_001_S	A	Hive1
38	1	10	0	R0_001_S	A	Hive1
39	1	10	0	R0_001_S	A	Hive1
40	1	10	0	R0_001_S	A	Hive1
1	1	10	0	R0_001_S	B	Hive1
2	1	10	0	R0_001_S	B	Hive1
3	1	10	0	R0_001_S	B	Hive1
4	1	10	0	R0_001_S	B	Hive1
5	1	10	0	R0_001_S	B	Hive1
6	1	10	0	R0_001_S	B	Hive1
7	1	10	0	R0_001_S	B	Hive1
8	1	10	0	R0_001_S	B	Hive1
9	1	10	0	R0_001_S	B	Hive1
10	1	10	0	R0_001_S	B	Hive1
11	1	10	0	R0_001_S	B	Hive1
12	1	10	0	R0_001_S	B	Hive1
13	1	10	0	R0_001_S	B	Hive1
14	1	10	0	R0_001_S	B	Hive1
15	1	10	0	R0_001_S	B	Hive1
16	1	10	0	R0_001_S	B	Hive1
17	1	10	0	R0_001_S	B	Hive1
18	1	10	0	R0_001_S	B	Hive1
19	1	10	0	R0_001_S	B	Hive1
20	1	10	0	R0_001_S	B	Hive1
21	1	10	0	R0_001_S	B	Hive1
22	1	10	0	R0_001_S	B	Hive1
23	1	10	0	R0_001_S	B	Hive1
24	1	10	0	R0_001_S	B	Hive1
25	1	10	0	R0_001_S	B	Hive1
26	1	10	0	R0_001_S	B	Hive1
27	1	10	0	R0_001_S	B	Hive1
28	1	10	0	R0_001_S	B	Hive1
29	1	10	0	R0_001_S	B	Hive1
30	1	10	0	R0_001_S	B	Hive1
31	1	10	0	R0_001_S	B	Hive1
32	1	10	0	R0_001_S	B	Hive1
33	1	10	0	R0_001_S	B	Hive1
34	1	10	0	R0_001_S	B	Hive1
35	1	10	0	R0_001_S	B	Hive1
36	1	10	0	R0_001_S	B	Hive1
37	1	10	0	R0_001_S	B	Hive1
38	1	10	0	R0_001_S	B	Hive1
39	1	10	0	R0_001_S	B	Hive1
40	1	10	0	R0_001_S	B	Hive1
1	1	1	1	R0_001_S	C	Hive1
2	1	9	1	R0_001_S	C	Hive1
3	1	10	0	R0_001_S	C	Hive1
4	1	10	0	R0_001_S	C	Hive1
5	1	10	0	R0_001_S	C	Hive1
6	1	10	0	R0_001_S	C	Hive1
7	1	10	0	R0_001_S	C	Hive1
8	1	10	0	R0_001_S	C	Hive1
9	1	10	0	R0_001_S	C	Hive1
10	1	10	0	R0_001_S	C	Hive1
11	1	10	0	R0_001_S	C	Hive1
12	1	10	0	R0_001_S	C	Hive1
13	1	10	0	R0_001_S	C	Hive1
14	1	10	0	R0_001_S	C	Hive1
15	1	10	0	R0_001_S	C	Hive1
16	1	10	0	R0_001_S	C	Hive1
